Location,Average_LAeq_dBA
ito,70.60643872995007
isbt,65.61274691055849
CPCBHQ,61.04023931498387
civil_lines,59.11006787673029
centralschool,57.27559685261253
punjabi,56.20034996721574
mandir_marg,55.543971807685224
COE,55.02038779869327
nsit,54.286420799062725
Dilshad,52.43964226749178
