Hour,Average_LAeq_dBA,Median_LAeq_dBA,Max_LAeq_dBA,Min_LAeq_dBA
0,56.29991038693754,55.50745010376,212.49270629883,13.078100204468
1,55.61424034867699,54.452529907227,180.75419616699,13.073650360107
2,55.059236197713105,53.614841461182,172.77220153809,13.072449684143
3,54.78928530596745,53.210886001587,172.27270507812,13.080800056458
4,55.07804934552626,53.5066299438475,176.67889404297,13.158399581909
5,56.51162305592691,55.301794052124,176.76950073242,13.150489807129
6,58.14596402078116,57.244609832764,179.25619506836,13.121489524841
7,59.28337668684242,58.685926437378,170.37159729004,13.097849845886
8,60.02770555848202,59.820899963379,236.84359741211,13.10857963562
9,60.693258023538824,60.656009674072,255.70570373535,13.115750312805
10,60.82594835718751,60.9488105773925,246.97450256348,13.027339935303
11,60.737314979233965,60.874080657959,209.40449523926,12.954290390015
12,60.53460087227473,60.542629241943,177.81820678711,12.974840164185
13,60.26096995174645,60.1188716888425,179.83399963379,13.008270263672
14,60.21319319729794,59.950569152832,175.74940490723,-1.050170956816e-25
15,60.224438118265205,59.859630584717,178.33149719238,8.2187919616699
16,60.29226032265804,60.007141113281,175.98570251465,8.3480253219604
17,60.28162955413958,59.989709854126,217.25689697266,4.2190458467318e-23
18,60.0477324646321,59.631801605225,178.16940307617,12.95534992218
19,59.72846079648665,59.2346153259275,199.52239990234,12.919939994812
20,59.40429028531277,58.791011810303,167.08030700684,13.152090072632
21,58.834816179745225,58.147300720215,212.19129943848,12.866410255432
22,58.04285625231152,57.0612087249755,168.2613067627,13.110340118408
23,57.371400232073995,56.666814804077006,179.90280151367,13.140689849854
